Date,Outlet,URL,Specific_Stock,Cites_data,Other_data,Advertorial
4/10/24,Barron's,https://www.barrons.com/articles/bird-avian-flu-outbreak-texas-cows-news-latest-3a5fbfb0?tesla=y,None,YES,,YES
4/18/24,Bloomberg,https://www.bloomberg.com/news/newsletters/2024-04-18/should-i-worry-about-bird-flu-experts-on-h5n1-spread-in-dairy-cows,RHHBY,YES,,NO
4/22/24,Bloomberg,https://www.bloomberg.com/opinion/articles/2024-04-22/with-h5n1-bird-flu-outbreak-in-cows-cdc-stumbles-again,None,YES,,NO
4/24/24,MarketWatch,https://www.marketwatch.com/story/as-bird-flu-spreads-in-dairy-cows-more-surveillance-is-needed-health-officials-say-0c371231,None,YES,,NO
5/8/24,Bloomberg,https://www.bloomberg.com/opinion/articles/2024-05-08/how-can-bird-flu-spread-to-humans-through-pigs,None,YES,,NO
5/10/24,Bloomberg,https://www.bloomberg.com/news/articles/2024-05-10/us-surveillance-of-bird-flu-to-get-100-million-in-hhs-funding,FC1:com,YES,,NO
5/25/24,Bloomberg,https://www.bloomberg.com/opinion/articles/2024-05-24/second-human-case-of-bird-flu-at-dairy-farms-requires-urgent-action,MRNA,YES,,NO
5/30/24,MarketWatch,https://www.marketwatch.com/story/new-u-s-bird-flu-case-is-first-with-respiratory-symptoms-cdc-says-4e85fff4,"MRNE ,PFE, BNTX",YES,,NO
6/2/24,Bloomberg,https://www.bloomberg.com/news/newsletters/2024-06-02/should-humans-worry-about-bird-flu-is-there-a-h5n1-vaccine,"PPE, MRNA, CSL",YES,,NO
6/8/24,Barron's,https://www.marketwatch.com/story/bird-flu-testing-vaccines-and-treatments-5-things-you-need-to-know-now-6b73579e,MRNA,YES,,NO
6/11/24,Yahoo Finance,https://finance.yahoo.com/news/no-one-wants-another-pandemic-155739016.html,None,YES,,NO
6/14/24,Bloomberg,https://www.bloomberg.com/news/articles/2024-06-14/bird-flu-traces-emerge-in-austin-sewage-far-from-dairy-farms,FC1:COM,YEs,,NO
6/19/24,Bloomberg,https://www.bloomberg.com/opinion/articles/2024-06-19/h5n1-bird-flu-outbreak-is-hard-to-track-using-wastewater-data,None,YES,,NO
7/2/24,Bloomberg,https://www.bloomberg.com/news/articles/2024-07-02/moderna-inks-176m-deal-to-make-bird-flu-vaccine-as-h5n1-fears-grow,"PPE, MRNA",YES,,NO
7/5/24,Yahoo Finance,https://finance.yahoo.com/news/does-h5n1-avian-influenza-pandemic-095645765.html,None,YES,,YES
9/11/24,Barron's,https://www.barrons.com/articles/missouri-bird-flu-case-3e9660d9?mod=article_inline,None,YES,,NO
9/26/24,Yahoo Finance,https://finance.yahoo.com/news/bird-flu-casts-wider-net-112418330.html,None,Yes,https://www.cdc.gov/bird-flu/spotlights/,NO
10/24/24,Bloomberg,https://www.bloomberg.com/news/articles/2024-10-24/bird-flu-tests-don-t-find-signs-of-human-to-human-spread-of-virus-cdc-says,None,YES,,NO
10/30/24,Bloomberg,https://www.bloomberg.com/news/articles/2024-10-30/us-spots-first-h5n1-case-in-a-pig-raising-concern-for-humans,None,YES,,NO
11/2/24,Bloomberg,https://www.bloomberg.com/opinion/articles/2024-11-02/bird-flu-in-pigs-is-one-step-closer-to-endangering-humans,None,YES,,NO
11/15/24,Bloomberg,https://www.bloomberg.com/opinion/articles/2024-11-15/bird-flu-overlapping-flu-season-could-make-h5n1-more-dangerous,None,YES,,NO
11/19/24,Bloomberg,https://www.bloomberg.com/news/articles/2024-11-19/california-child-tests-positive-for-bird-flu-officials-say,None,Yes,,NO
12/18/24,Yahoo Finance,https://finance.yahoo.com/news/hologic-contribute-h5n1-bird-flu-130800745.html,HOLX,Yes,,YES
12/18/24,Bloomberg,https://www.bloomberg.com/news/articles/2024-12-18/first-severe-case-of-bird-flu-in-us-patient-found-in-louisiana,None,YES,,NO
12/19/24,Yahoo Finance,https://finance.yahoo.com/news/hologic-agrees-cdc-develop-reagents-114524449.html,None,Yes,,YES
12/23/24,Yahoo Finance,https://finance.yahoo.com/news/nanoviricides-great-position-fight-potential-113000379.html,NNVC,Yes,,YES
12/24/24,Yahoo Finance,https://finance.yahoo.com/news/hologic-teams-cdc-combat-h5n1-121700228.html,HOLX,YES,,YES
1/6/25,Bloomberg,https://www.bloomberg.com/news/articles/2025-01-06/louisiana-patient-s-death-from-bird-flu-is-the-first-in-us,None,YES,,NO
1/7/25,Barrons,https://www.barrons.com/articles/bird-flu-death-h5n1-pandemic-risk-ca1fde9d?mod=article_inline,None,YES,,NO
1/8/25,Yahoo Finance,https://finance.yahoo.com/news/vaccine-stocks-jump-cdc-reports-115200423.html,"NVAX,MRNA,CVAC",YES,,YES
1/8/25,Yahoo Finance,https://finance.yahoo.com/news/tcbp-announces-h5n1-proof-concept-133000853.html,MRNA,YES,,YES
1/15/25,Yahoo Finance,https://finance.yahoo.com/news/tcbp-announces-h5n1-proof-concept-133000853.html,TCBP,YES,,YES
1/16/25,MarketWatch,https://www.marketwatch.com/story/cdc-upgrades-its-advisory-on-bird-flu-will-modernas-stock-get-a-boost-db7bcf9c,MRNA,Yes,,YES
1/20/25,Yahoo Finance,https://finance.yahoo.com/news/arcturus-therapeutics-announces-initiation-phase-130000469.html,ARCT,Yes,,YES
1/21/25,Barron's,https://www.barrons.com/articles/moderna-bird-flu-vaccine-funding-95fc109a?mod=mw_quote_news,MRNA,YES,,YES
1/27/25,Barrons,https://www.barrons.com/articles/bird-flu-vaccine-moderna-pfizer-5e09d32b?mod=investing,MRNA,YES,,NO
1/28/25,Yahoo Finance,https://finance.yahoo.com/news/invisishield-technologies-accelerates-h5n1-bird-130200463.html,None,Yes,,YES
2/13/25,Bloomberg,https://www.bloomberg.com/opinion/articles/2025-02-13/bird-flu-threat-is-growing-with-new-strain-and-ways-to-spread,None,YES,,NO
2/14/25,Barron's,https://www.barrons.com/articles/bird-flu-egg-prices-rising-ba627680?mod=mw_latestnews,None,YES,,NO
2/20/25,Yahoo Finance,https://finance.yahoo.com/news/hnl-lab-medicine-begins-subtyping-191600908.html,None,Yes,,YES
2/20/25,Yahoo Finance,https://finance.yahoo.com/news/hnl-lab-medicine-enhances-flu-194600269.html,None,Yes,,YES
2/20/25,Barron's,https://www.barrons.com/articles/bird-flu-vaccine-egg-prices-zoetis-dd60a6ab?mod=search_headline,None,YES,,NO
3/22/25,Barrons,https://www.barrons.com/articles/bird-flu-egg-prices-h5n1-what-to-know-eb8ff83e,NONE,YES,,NO
3/24/25,MarketWatch,https://www.marketwatch.com/story/bird-flu-is-more-than-just-expensive-eggs-it-could-break-the-economy-8c4c1904,None,Yes,,YES
4/10/25,MarketWatch,https://www.marketwatch.com/story/arcturus-gets-fda-fast-track-designation-for-pandemic-influenza-a-h5n1-vaccine-8bbc3f78,None,Yes,,YES
4/15/25,Yahoo Finance,https://finance.yahoo.com/news/healthtrackrx-partners-cdc-launch-rapid-135400386.html,None,Yes,,YES
4/15/25,MarketWatch,https://www.marketwatch.com/press-release/healthtrackrx-partners-with-cdc-to-launch-rapid-pcr-test-for-h5n1-to-support-early-detection-amid-nationwide-outbreaks-cf2a0129,None,YES,,YES
4/17/25,Yahoo Finance,https://finance.yahoo.com/news/vaccine-stocks-rise-growing-threat-150800194.html,"PFE,MRNA,CVAC,NVAX",NO,,YES
4/17/25,Yahoo Finance,https://finance.yahoo.com/news/magnet-nanoparticle-vaccine-achieves-100-174900945.html,None,Yes,,YES
4/17/25,MarketWatch,https://www.marketwatch.com/press-release/magnet-like-nanoparticle-vaccine-achieves-100-protection-against-h5n1-in-preclinical-trials-d8a60c98,None,Yes,,YES
4/28/25,MarketWatch,https://www.marketwatch.com/press-release/global-virus-network-issues-urgent-call-to-action-to-mitigate-the-rising-threat-of-h5n1-avian-influenza-f5394515,None,YEs,,YES
5/5/25,Yahoo Finance,https://finance.yahoo.com/news/top-animal-health-experts-address-130000937.html,TRUP,YES,"Webinar ""Bird Flu: What We Know Now""",YES
5/8/25,Bloomberg,https://www.bloomberg.com/opinion/articles/2025-05-08/bird-flu-outbreak-over-who-knows,MRNA,YES,,NO
6/3/25,Yahoo Finance,https://finance.yahoo.com/news/avian-influenza-worker-safety-understanding-153000125.html,None,Yes,"IBEC Webinar ""Avian Influenza and Worker Safety: Navigatint the H5N1 Challenge""",YES
6/3/25,MarketWatch,https://www.marketwatch.com/press-release/avian-influenza-and-worker-safety-understanding-and-managing-the-h5n1-risk-021297a6,None,Yes,,YES